Date,Value,Predict
2020/11,0.09,P
2020/10,-0.26,R
2020/09,-0.58,P
2020/08,-0.32,R
2020/07,-0.51,R
2020/06,-0.75,R
2020/05,-1.21,P
2020/04,-0.97,R
2020/03,-0.03,R
2020/02,-0.21,P
2020/01,1.86,R
2019/12,1.14,P
2019/11,0.58,P
2019/10,0.37,R
2019/09,0.42,P
2019/08,0.43,P
2019/07,0.38,R
2019/06,0.85,P
2019/05,0.93,P
2019/04,0.66,P
2019/03,0.56,R
2019/02,0.22,R
2019/01,0.18,R
2018/12,-0.06,P
2018/11,0.3,R
2018/10,1.16,F
2018/09,1.72,P
2018/08,1.54,R
2018/07,1.76,P
2018/06,1.4,P
2018/05,1.75,P
2018/04,2,P
2018/03,1.59,P
2018/02,2.2,P
2018/01,0.89,P
2017/12,1.22,P
2017/11,0.34,P
2017/10,-0.33,P
2017/09,0.49,P
2017/08,0.96,P
2017/07,0.77,P
2017/06,1,P
2017/05,0.59,P
2017/04,0.1,P
2017/03,0.18,P
2017/02,-0.06,P
2017/01,2.24,P
2016/12,1.69,P
2016/11,1.97,P
2016/10,1.7,P
2016/09,0.34,P
2016/08,0.56,P
2016/07,1.24,P
2016/06,0.9,P
2016/05,1.23,P
2016/04,1.87,P
2016/03,2.01,P
2016/02,2.41,P
2016/01,0.81,P
2015/12,0.13,P
2015/11,0.54,P
2015/10,0.31,P
2015/09,0.29,P
2015/08,-0.44,P
2015/07,-0.63,P
2015/06,-0.56,P
2015/05,-0.73,P
2015/04,-0.82,P
2015/03,-0.61,P
2015/02,-0.2,P
2015/01,-0.94,P
2014/12,0.6,P
2014/11,0.86,P
2014/10,1.05,P
2014/09,0.71,P
2014/08,2.08,P
2014/07,1.76,P
2014/06,1.64,P
2014/05,1.62,P
2014/04,1.66,P
2014/03,1.61,P
2014/02,-0.04,P
2014/01,0.82,P
2013/12,0.34,P
2013/11,0.68,P
2013/10,0.64,P
2013/09,0.85,P
2013/08,-0.78,P
2013/07,0.06,P
2013/06,0.6,P
2013/05,0.74,P
2013/04,1.05,P
2013/03,1.35,P
2013/02,2.97,P
2013/01,1.12,P
2012/12,1.61,P
2012/11,1.59,P
2012/10,2.34,P
2012/09,2.96,P
2012/08,3.42,P
2012/07,2.46,P
2012/06,1.77,P
2012/05,1.75,P
2012/04,1.44,P
2012/03,1.25,P
2012/02,0.24,P
2012/01,2.36,P
2011/12,2.03,P
2011/11,1.03,P
2011/10,1.25,P
2011/09,1.37,P
2011/08,1.35,P
2011/07,1.33,P
2011/06,1.94,P
2011/05,1.66,P
2011/04,1.3,P
2011/03,1.4,P
2011/02,1.32,P
2011/01,1.1,P
2010/12,1.24,P
