Date,Value,Predict
2020/11,99.5,P
2020/10,100.5,P
2020/09,101.7,P
2020/08,102.4,P
2020/07,102.7,P
2020/06,102.5,P
2020/05,102.4,P
2020/04,103.3,P
2020/03,104.3,P
2020/02,105.2,P
2020/01,105.4,P
2019/12,104.5,P
2019/11,104.5,P
2019/10,103.8,P
2019/09,103,P
2019/08,102.8,P
2019/07,102.8,P
2019/06,102.7,P
2019/05,102.7,P
2019/04,102.5,P
2019/03,102.3,P
2019/02,101.5,P
2019/01,101.7,P
2018/12,101.9,P
2018/11,102.2,P
2018/10,102.5,P
2018/09,102.5,P
2018/08,102.3,P
2018/07,102.1,P
2018/06,101.9,P
2018/05,101.8,P
2018/04,101.8,P
2018/03,102.1,P
2018/02,102.9,P
2018/01,101.5,P
2017/12,101.8,P
2017/11,101.7,P
2017/10,101.9,P
2017/09,101.6,P
2017/08,101.8,P
2017/07,101.4,P
2017/06,101.5,P
2017/05,101.5,P
2017/04,101.2,P
2017/03,100.9,P
2017/02,100.8,P
2017/01,102.5,P
2016/12,102.1,P
2016/11,102.3,P
2016/10,102.1,P
2016/09,101.9,P
2016/08,101.3,P
2016/07,101.8,P
2016/06,101.9,P
2016/05,102,P
2016/04,102.3,P
2016/03,102.3,P
2016/02,102.3,P
2016/01,101.8,P
2015/12,101.6,P
2015/11,101.5,P
2015/10,101.3,P
2015/09,101.6,P
2015/08,102,P
2015/07,101.6,P
2015/06,101.4,P
2015/05,101.2,P
2015/04,101.5,P
2015/03,101.4,P
2015/02,101.4,P
2015/01,100.8,P
2014/12,101.5,P
2014/11,101.4,P
2014/10,101.6,P
2014/09,101.6,P
2014/08,102,P
2014/07,102.3,P
2014/06,102.3,P
2014/05,102.5,P
2014/04,101.8,P
2014/03,102.4,P
2014/02,102,P
2014/01,102.5,P
2013/12,102.5,P
2013/11,103,P
2013/10,103.2,P
2013/09,103.3,P
2013/08,102.6,P
2013/07,102.7,P
2013/06,102.7,P
2013/05,102.1,P
2013/04,102.4,P
2013/03,102.1,P
2013/02,103.2,P
2013/01,102,P
2012/12,102.5,P
2012/11,102,P
2012/10,101.7,P
2012/09,101.9,P
2012/08,102,P
2012/07,101.8,P
2012/06,102.2,P
2012/05,103,P
2012/04,103.4,P
2012/03,103.6,P
2012/02,103.2,P
2012/01,104.5,P
2011/12,104.1,P
2011/11,104.2,P
2011/10,105.5,P
2011/09,106.1,P
2011/08,106.2,P
2011/07,106.5,P
2011/06,106.4,P
2011/05,105.5,P
2011/04,105.3,P
2011/03,105.4,P
2011/02,104.9,P
2011/01,104.9,P
2010/12,104.6,P
