CK1004 中國M2(十億元)(CNY) -- 201012-999999,,
,,
年月,數值,預估(F)
2020/11,"217,200.00",P
2020/10,"214,970.00",P
2020/09,"216,410.00",P
2020/08,"213,680.00",P
2020/07,"212,550.00",P
2020/06,"213,490.00",P
2020/05,"210,020.00",P
2020/04,"209,350.00",P
2020/03,"208,090.00",P
2020/02,"203,080.00",P
2020/01,"202,310.00",P
2019/12,"198,650.00",P
2019/11,"196,140.00",P
2019/10,"194,560.00",P
2019/09,"195,230.00",P
2019/08,"193,550.00",P
2019/07,"191,940.00",P
2019/06,"192,140.00",P
2019/05,"189,120.00",P
2019/04,"188,470.00",P
2019/03,"188,940.00",P
2019/02,"186,740.00",P
2019/01,"186,590.00",P
2018/12,"182,670.00",P
2018/11,"181,320.00",P
2018/10,"179,560.00",P
2018/09,"180,170.00",P
2018/08,"178,870.00",P
2018/07,"177,620.00",P
2018/06,"177,020.00",P
2018/05,"174,310.00",P
2018/04,"173,770.00",P
2018/03,"173,990.00",P
2018/02,"172,910.00",P
2018/01,"172,080.00",P
2017/12,"167,680.00",P
2017/11,"167,000.00",P
2017/10,"165,340.00",P
2017/09,"165,570.00",P
2017/08,"164,515.66",P
2017/07,"162,899.66",R
2017/06,"163,130.00",P
2017/05,"160,140.00",P
2017/04,"159,630.00",P
2017/03,"159,960.00",P
2017/02,"158,290.00",P
2017/01,"157,590.00",P
2016/12,"155,010.00",P
2016/11,"153,040.00",P
2016/10,"151,960.00",P
2016/09,"151,640.00",P
2016/08,"151,100.00",P
2016/07,"149,160.00",P
2016/06,"149,050.00",P
2016/05,"146,170.00",P
2016/04,"144,520.00",P
2016/03,"144,620.00",P
2016/02,"142,460.00",P
2016/01,"141,630.00",P
2015/12,"139,230.00",P
2015/11,"137,400.00",P
2015/10,"136,100.00",P
2015/09,"135,980.00",P
2015/08,"135,690.00",P
2015/07,"135,320.00",P
2015/06,"133,340.00",P
2015/05,"130,740.00",P
2015/04,"128,080.00",P
2015/03,"127,530.00",P
2015/02,"125,740.00",P
2015/01,"124,270.00",P
2014/12,"122,840.00",P
2014/11,"120,860.00",P
2014/10,"119,920.00",P
2014/09,"120,205.14",R
2014/08,"119,749.91",R
2014/07,"119,424.92",R
2014/06,"120,958.72",R
2014/05,"118,229.40",R
2014/04,"116,881.27",R
2014/03,"116,068.74",R
2014/02,"113,176.08",R
2014/01,"112,352.12",R
2013/12,"110,652.50",R
2013/11,"107,925.71",R
2013/10,"107,024.22",R
2013/09,"106,474.76",R
2013/08,"106,125.64",R
2013/07,"105,221.23",R
2013/06,"105,440.37",R
2013/05,"104,216.92",R
2013/04,"103,255.19",R
2013/03,"103,585.84",R
2013/02,"99,860.08",R
2013/01,"99,212.93",R
2012/12,"97,420.00",P
2012/11,"94,480.00",P
2012/10,"93,640.00",P
2012/09,"94,370.00",P
2012/08,"92,490.00",P
2012/07,"91,910.00",P
2012/06,"92,500.00",P
2012/05,"90,000.00",P
2012/04,"88,960.00",P
2012/03,"89,560.00",P
2012/02,"86,720.00",P
2012/01,"85,580.00",P
2011/12,"85,160.00",P
2011/11,"82,550.00",P
2011/10,"81,680.00",P
2011/09,"78,740.59",P
2011/08,"78,070.00",P
2011/07,"77,290.00",P
2011/06,"78,082.09",P
2011/05,"76,340.00",P
2011/04,"75,730.00",P
2011/03,"75,810.00",P
2011/02,"73,610.00",P
2011/01,"73,560.00",P
2010/12,"72,580.00",P
