Date,Value,Predict
2020/11,98.5,P
2020/10,97.9,P
2020/09,97.9,P
2020/08,98,P
2020/07,97.6,P
2020/06,97,P
2020/05,96.3,P
2020/04,96.9,P
2020/03,98.5,P
2020/02,99.6,P
2020/01,100.1,P
2019/12,99.5,P
2019/11,98.6,P
2019/10,98.4,P
2019/09,98.8,P
2019/08,99.2,P
2019/07,99.7,P
2019/06,100,P
2019/05,100.6,P
2019/04,100.9,P
2019/03,100.4,P
2019/02,100.1,P
2019/01,100.1,P
2018/12,100.9,P
2018/11,102.7,P
2018/10,103.3,P
2018/09,103.6,P
2018/08,104.1,P
2018/07,104.6,P
2018/06,104.7,P
2018/05,104.1,P
2018/04,103.4,P
2018/03,103.1,P
2018/02,103.7,P
2018/01,104.3,P
2017/12,104.9,P
2017/11,105.8,P
2017/10,106.9,P
2017/09,106.9,P
2017/08,106.3,P
2017/07,105.5,P
2017/06,105.5,P
2017/05,105.5,P
2017/04,106.4,P
2017/03,107.6,P
2017/02,107.8,P
2017/01,106.9,P
2016/12,105.5,P
2016/11,103.3,P
2016/10,101.2,P
2016/09,100.5,P
2016/08,100.2,P
2016/07,100.2,P
2016/06,99.8,P
2016/05,100.5,P
2016/04,100.7,P
2016/03,100.5,P
2016/02,99.7,P
2016/01,94.7,P
2015/12,94.1,P
2015/11,94.1,P
2015/10,94.1,P
2015/09,94.1,P
2015/08,94.1,P
2015/07,94.6,P
2015/06,95.2,P
2015/05,95.4,P
2015/04,95.4,P
2015/03,95.4,P
2015/02,95.2,P
2015/01,95.7,P
2014/12,96.7,P
2014/11,97.3,P
2014/10,97.8,P
2014/09,98.2,P
2014/08,98.8,P
2014/07,99.1,P
2014/06,98.9,P
2014/05,98.6,P
2014/04,98,P
2014/03,97.7,P
2014/02,98,P
2014/01,98.4,P
2013/12,98.6,P
2013/11,98.6,P
2013/10,98.5,P
2013/09,98.7,P
2013/08,98.4,P
2013/07,97.7,P
2013/06,97.3,P
2013/05,97.1,P
2013/04,97.4,P
2013/03,98.1,P
2013/02,98.4,P
2013/01,98.4,P
2012/12,98.1,P
2012/11,97.8,P
2012/10,97.2,P
2012/09,96.4,P
2012/08,96.5,P
2012/07,97.1,P
2012/06,97.9,P
2012/05,98.6,P
2012/04,99.3,P
2012/03,99.7,P
2012/02,100,P
2012/01,100.7,P
2011/12,101.7,P
2011/11,102.7,P
2011/10,105,P
2011/09,106.5,P
2011/08,107.3,P
2011/07,107.5,P
2011/06,107.1,P
2011/05,106.8,P
2011/04,106.8,P
2011/03,107.3,P
2011/02,107.2,P
2011/01,106.6,P
2010/12,105.9,P
