Date,Value,Predict
2020/10,122.85,P
2020/09,120.61,R
2020/08,118.39,R
2020/07,116.18,R
2020/06,114.09,R
2020/05,112.31,R
2020/04,111.16,R
2020/03,110.9,R
2020/02,111.42,R
2020/01,112.16,R
2019/12,112.82,R
2019/11,113.26,R
2019/10,113.41,R
2019/09,113.35,R
2019/08,113.14,R
2019/07,112.92,R
2019/06,112.69,R
2019/05,112.44,R
2019/04,112.09,R
2019/03,111.54,R
2019/02,110.81,R
2019/01,110,R
2018/12,109.38,R
2018/11,109.09,R
2018/10,109.1,R
2018/09,109.32,R
2018/08,109.58,R
2018/07,109.77,R
2018/06,109.83,R
2018/05,109.75,R
2018/04,109.52,R
2018/03,109.24,R
2018/02,109.01,R
2018/01,108.8,R
2017/12,108.53,R
2017/11,108.17,R
2017/10,107.76,R
2017/09,107.36,R
2017/08,107.01,R
2017/07,106.69,R
2017/06,106.4,R
2017/05,106.16,R
2017/04,105.98,R
2017/03,105.84,R
2017/02,105.63,R
2017/01,105.29,R
2016/12,104.88,R
2016/11,104.46,R
2016/10,103.98,R
2016/09,103.39,R
2016/08,102.71,R
2016/07,101.99,R
2016/06,101.28,R
2016/05,100.65,R
2016/04,100.11,R
2016/03,99.67,R
2016/02,99.31,R
2016/01,99.07,R
2015/12,98.91,R
2015/11,98.85,R
2015/10,98.89,R
2015/09,98.99,R
2015/08,99.15,R
2015/07,99.35,R
2015/06,99.54,R
2015/05,99.69,R
2015/04,99.83,R
2015/03,100,R
2015/02,100.16,R
2015/01,100.21,R
2014/12,100.21,R
2014/11,100.24,R
2014/10,100.41,R
2014/09,100.7,R
2014/08,101.01,R
2014/07,101.24,R
2014/06,101.37,R
2014/05,101.43,R
2014/04,101.33,R
2014/03,101.06,R
2014/02,100.62,R
2014/01,100,R
2013/12,99.22,R
2013/11,98.49,R
2013/10,97.86,R
2013/09,97.39,R
2013/08,97.07,R
2013/07,96.85,R
2013/06,96.59,R
2013/05,96.26,R
2013/04,95.78,R
2013/03,95.14,R
2013/02,94.4,R
2013/01,93.62,R
2012/12,92.88,R
2012/11,92.24,R
2012/10,91.78,R
2012/09,91.51,R
2012/08,91.37,R
2012/07,91.31,R
2012/06,91.27,R
2012/05,91.19,R
2012/04,91.02,R
2012/03,90.71,R
2012/02,90.19,R
2012/01,89.46,R
2011/12,88.7,R
2011/11,88.32,R
2011/10,88.37,R
2011/09,88.76,R
2011/08,89.32,R
2011/07,89.87,R
2011/06,90.28,R
2011/05,90.56,R
2011/04,90.71,R
2011/03,90.75,R
2011/02,90.65,R
2011/01,90.4,R
2010/12,89.97,R
