Date,Value,Predict
2020/10,"48,691,500",P
2020/09,"48,567,300",P
2020/08,"48,343,600",P
2020/07,"47,865,400",P
2020/06,"47,477,300",P
2020/05,"47,116,400",P
2020/04,"46,986,900",P
2020/03,"46,753,600",P
2020/02,"46,611,000",P
2020/01,"46,259,500",P
2019/12,"45,847,300",P
2019/11,"45,766,800",P
2019/10,"45,483,500",P
2019/09,"45,327,700",P
2019/08,"45,313,500",P
2019/07,"45,202,800",P
2019/06,"45,038,200",P
2019/05,"45,227,600",P
2019/04,"45,087,400",P
2019/03,"44,776,000",P
2019/02,"44,668,300",P
2019/01,"44,225,800",P
2018/12,"44,031,600",P
2018/11,"43,948,700",P
2018/10,"43,821,000",P
2018/09,"43,837,400",P
2018/08,"43,843,800",P
2018/07,"43,723,400",P
2018/06,"43,706,900",P
2018/05,"43,738,700",P
2018/04,"43,475,200",P
2018/03,"43,430,600",P
2018/02,"43,402,800",P
2018/01,"42,881,000",P
2017/12,"42,719,000",P
2017/11,"42,630,935",P
2017/10,"42,384,684",P
2017/09,"42,421,896",P
2017/08,"42,393,555",P
2017/07,"42,170,682",P
2017/06,"41,986,886",P
2017/05,"42,167,302",P
2017/04,"41,967,182",P
2017/03,"41,921,201",P
2017/02,"41,823,049",P
2017/01,"41,462,974",P
2016/12,"41,235,192",P
2016/11,"40,965,439",P
2016/10,"40,814,705",P
2016/09,"40,868,080",P
2016/08,"40,862,784",P
2016/07,"40,703,700",P
2016/06,"40,486,493",P
2016/05,"40,518,437",P
2016/04,"40,497,093",P
2016/03,"40,449,782",P
2016/02,"40,385,894",P
2016/01,"39,975,156",P
2015/12,"39,606,069",P
2015/11,"39,404,815",P
2015/10,"39,251,780",P
2015/09,"39,276,397",P
2015/08,"39,097,994",P
2015/07,"38,874,878",P
2015/06,"38,773,980",P
2015/05,"38,906,467",P
2015/04,"38,698,092",P
2015/03,"38,592,972",P
2015/02,"38,399,104",P
2015/01,"37,846,099",P
2014/12,"37,475,663",P
2014/11,"37,036,738",P
2014/10,"36,827,559",P
2014/09,"36,880,189",P
2014/08,"36,879,858",R
2014/07,"36,652,914",R
2014/06,"36,398,716",R
2014/05,"36,425,043",R
2014/04,"36,327,387",P
2014/03,"36,215,330",P
2014/02,"36,051,049",P
2014/01,"35,749,776",P
2013/12,"35,405,471",P
2013/11,"35,200,088",R
2013/10,"35,081,041",R
2013/09,"35,020,549",R
2013/08,"34,911,985",P
2013/07,"34,699,121",P
2013/06,"34,422,745",P
2013/05,"34,391,500",P
2013/04,"34,194,561",P
2013/03,"34,201,247",P
2013/02,"34,136,975",P
2013/01,"33,734,956",P
2012/12,"33,479,018",P
2012/11,"33,193,303",R
2012/10,"33,096,987",R
2012/09,"33,181,438",R
2012/08,"33,119,864",R
2012/07,"32,916,473",R
2012/06,"32,839,729",P
2012/05,"32,968,376",P
2012/04,"32,972,461",P
2012/03,"32,956,815",P
2012/02,"32,971,614",P
2012/01,"32,755,688",P
2011/12,"32,295,023",P
2011/11,"32,145,688",R
2011/10,"32,041,811",R
2011/09,"31,918,620",R
2011/08,"31,942,157",R
2011/07,"31,712,651",R
2011/06,"31,518,429",R
2011/05,"31,580,233",R
2011/04,"31,485,910",R
2011/03,"31,372,001",R
2011/02,"31,424,785",R
2011/01,"31,129,259",R
2010/12,"30,754,778",R
