CA1701 美國CPI 1982-84=100(指數) -- 201012-999999,,
,,
年月,數值,預估(F)
2020/11,260.2,P
2020/10,260.4,P
2020/09,260.3,P
2020/08,259.9,P
2020/07,259.1,P
2020/06,257.8,P
2020/05,256.4,P
2020/04,256.4,P
2020/03,258.1,P
2020/02,258.7,P
2020/01,258,P
2019/12,257,P
2019/11,257.2,P
2019/10,257.3,P
2019/09,256.8,P
2019/08,256.6,P
2019/07,256.6,P
2019/06,256.1,P
2019/05,256.1,P
2019/04,255.5,P
2019/03,254.2,P
2019/02,252.8,P
2019/01,251.7,P
2018/12,251.2,P
2018/11,252,P
2018/10,252.9,P
2018/09,252.4,P
2018/08,252.1,P
2018/07,252,P
2018/06,252,P
2018/05,251.6,P
2018/04,250.5,P
2018/03,249.6,P
2018/02,249,P
2018/01,247.9,P
2017/12,246.5,P
2017/11,246.7,P
2017/10,246.7,P
2017/09,246.8,P
2017/08,245.5,P
2017/07,244.8,P
2017/06,245,P
2017/05,244.7,P
2017/04,244.5,P
2017/03,243.8,P
2017/02,243.6,P
2017/01,242.8,P
2016/12,241.4,P
2016/11,241.4,P
2016/10,241.7,P
2016/09,241.4,P
2016/08,240.8,R
2016/07,240.6,P
2016/06,241,P
2016/05,240.2,P
2016/04,239.3,P
2016/03,238.1,P
2016/02,237.1,P
2016/01,236.9,P
2015/12,236.5,P
2015/11,237.3,P
2015/10,237.8,P
2015/09,237.9,P
2015/08,238.3,P
2015/07,238.7,P
2015/06,238.6,P
2015/05,237.8,P
2015/04,236.6,P
2015/03,236.1,P
2015/02,234.7,P
2015/01,233.7,P
2014/12,234.8,P
2014/11,236.2,P
2014/10,237.4,P
2014/09,238,P
2014/08,237.9,R
2014/07,238.3,P
2014/06,238.3,P
2014/05,237.9,P
2014/04,237.1,P
2014/03,236.3,P
2014/02,234.8,P
2014/01,233.9,P
2013/12,233,P
2013/11,233.1,P
2013/10,233.5,P
2013/09,234.1,P
2013/08,233.9,P
2013/07,233.6,P
2013/06,233.5,P
2013/05,232.9,P
2013/04,232.5,P
2013/03,232.8,P
2013/02,232.2,P
2013/01,230.3,P
2012/12,229.6,P
2012/11,230.2,P
2012/10,231.3,P
2012/09,231.4,P
2012/08,230.4,P
2012/07,229.1,P
2012/06,229.5,R
2012/05,229.8,P
2012/04,230.1,P
2012/03,229.4,P
2012/02,227.7,R
2012/01,226.7,P
2011/12,225.7,P
2011/11,226.2,P
2011/10,226.4,P
2011/09,226.9,P
2011/08,226.5,P
2011/07,225.9,P
2011/06,225.7,R
2011/05,226,P
2011/04,224.9,P
2011/03,223.5,P
2011/02,221.3,P
2011/01,220.2,P
2010/12,219.2,P
