Date,Value,Predict
2020/11,"19,100",P
2020/10,"18,781",R
2020/09,"18,603",R
2020/08,"18,361",R
2020/07,"18,274",R
2020/06,"18,116",R
2020/05,"17,777",R
2020/04,"17,113",R
2020/03,"16,067",R
2020/02,"15,393",R
2020/01,"15,405",R
2019/12,"15,423",R
2019/11,"15,270",R
2019/10,"15,124",R
2019/09,"14,997",R
2019/08,"14,906",R
2019/07,"14,825",R
2019/06,"14,745",R
2019/05,"14,585",R
2019/04,"14,634",R
2019/03,"14,583",R
2019/02,"14,411",R
2019/01,"14,434",R
2018/12,"14,457",R
2018/11,"14,263",R
2018/10,"14,210",R
2018/09,"14,207",R
2018/08,"14,172",R
2018/07,"14,115",R
2018/06,"14,081",R
2018/05,"13,989",R
2018/04,"14,068",R
2018/03,"14,024",R
2018/02,"13,842",R
2018/01,"13,856",R
2017/12,"13,937",R
2017/11,"13,812",R
2017/10,"13,742",R
2017/09,"13,688",R
2017/08,"13,633",R
2017/07,"13,569",R
2017/06,"13,497",R
2017/05,"13,454",R
2017/04,"13,543",R
2017/03,"13,476",R
2017/02,"13,288",R
2017/01,"13,275",R
2016/12,"13,293",R
2016/11,"13,184",R
2016/10,"13,076",R
2016/09,"13,012",R
2016/08,"12,941",R
2016/07,"12,843",R
2016/06,"12,781",R
2016/05,"12,700",R
2016/04,"12,751",R
2016/03,"12,656",R
2016/02,"12,489",R
2016/01,"12,449",R
2015/12,"12,397",R
2015/11,"12,267",R
2015/10,"12,141",R
2015/09,"12,108",R
2015/08,"12,040",R
2015/07,"11,983",R
2015/06,"11,932",R
2015/05,"11,877",R
2015/04,"11,974",R
2015/03,"11,926",R
2015/02,"11,816",R
2015/01,"11,727",R
2014/12,"11,728",R
2014/11,"11,583",R
2014/10,"11,507",R
2014/09,"11,432",R
2014/08,"11,381",R
2014/07,"11,350",R
2014/06,"11,295",R
2014/05,"11,233",R
2014/04,"11,290",R
2014/03,"11,237",R
2014/02,"11,112",R
2014/01,"11,060",R
2013/12,"11,064",R
2013/11,"10,937",R
2013/10,"10,893",R
2013/09,"10,766",R
2013/08,"10,699",R
2013/07,"10,644",R
2013/06,"10,605",R
2013/05,"10,541",R
2013/04,"10,618",R
2013/03,"10,589",R
2013/02,"10,443",R
2013/01,"10,469",R
2012/12,"10,494",R
2012/11,"10,306",R
2012/10,"10,208",R
2012/09,"10,128",R
2012/08,"10,032",R
2012/07,"9,969",R
2012/06,"9,924",R
2012/05,"9,846",R
2012/04,"9,913",R
2012/03,"9,867",R
2012/02,"9,751",R
2012/01,"9,725",R
2011/12,"9,693",R
2011/11,"9,639",R
2011/10,"9,559",R
2011/09,"9,507",R
2011/08,"9,466",R
2011/07,"9,267",R
2011/06,"9,112",R
2011/05,"9,021",R
2011/04,"9,046",R
2011/03,"8,992",R
2011/02,"8,879",R
2011/01,"8,840",R
2010/12,"8,849",R
